# Copyright (C) 2022  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 22.1std.0 Build 915 10/25/2022 SC Lite Edition
# File: /media/rafael/USB STICK/laboratorio-digital-1/Projeto/Semana_2/Quartus/jogo_desafio_ritmo.csv
# Generated on: Mon Mar 20 18:19:04 2023

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
seletor_modo[0],Input,PIN_D17,7A,B7A_N0,,,,,,,,,,,,,,
seletor_modo[1],Input,PIN_K20,7A,B7A_N0,,,,,,,,,,,,,,
reset,Input,PIN_B16,7A,B7A_N0,,,,,,,,,,,,,,
jogar,Input,PIN_C16,7A,B7A_N0,,,,,,,,,,,,,,
clock,Input,PIN_N16,5B,B5B_N0,,,,,,,,,,,,,,
botoes[0],Input,PIN_F15,7A,B7A_N0,,,,,,,,,,,,,,
botoes[1],Input,PIN_F12,7A,B7A_N0,,,,,,,,,,,,,,
botoes[2],Input,PIN_G15,7A,B7A_N0,,,,,,,,,,,,,,
botoes[3],Input,PIN_G12,7A,B7A_N0,,,,,,,,,,,,,,
pronto,Output,PIN_M16,5B,B5B_N0,,,,,,,,,,,,,,
pontuacao[0],Output,PIN_Y19,4A,B4A_N0,,,,,,,,,,,,,,
pontuacao[1],Output,PIN_AB17,4A,B4A_N0,,,,,,,,,,,,,,
pontuacao[2],Output,PIN_AA10,3B,B3B_N0,,,,,,,,,,,,,,
pontuacao[3],Output,PIN_Y14,4A,B4A_N0,,,,,,,,,,,,,,
pontuacao[4],Output,PIN_V14,4A,B4A_N0,,,,,,,,,,,,,,
pontuacao[5],Output,PIN_AB22,4A,B4A_N0,,,,,,,,,,,,,,
pontuacao[6],Output,PIN_AB21,4A,B4A_N0,,,,,,,,,,,,,,
pontuacao[7],Output,PIN_Y16,4A,B4A_N0,,,,,,,,,,,,,,
pontuacao[8],Output,PIN_W16,4A,B4A_N0,,,,,,,,,,,,,,
pontuacao[9],Output,PIN_Y17,4A,B4A_N0,,,,,,,,,,,,,,
pontuacao[10],Output,PIN_V16,4A,B4A_N0,,,,,,,,,,,,,,
